route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
Vía 1_358_Vía 1,358_Vía 1_Vía 1_358_Vía 1,2,shape_509,weekday,5,1
A Vía 2_360_A Vía 2,360_A Vía 2_A Vía 2_360_A Vía 2,2,shape_580,weekday,5,1
A Vía Pensador Mexicano_360_A Vía Pensador Mexicano,360_A Vía Pensador Mexicano_A Vía Pensador Mexicano_360_A Vía Pensador Mexicano,2,shape_581,weekday,5,1
Vía Colonia Morelos_360_Vía Colonia Morelos,360_Vía Colonia Morelos_Vía Colonia Morelos_360_Vía Colonia Morelos,2,shape_582,weekday,5,1
Vía Esteban Alatorre_360_Vía Esteban Alatorre,360_Vía Esteban Alatorre_Vía Esteban Alatorre_360_Vía Esteban Alatorre,2,shape_583,weekday,5,1
_368_,368___368_,2,shape_584,weekday,5,1
CUT_368_CUT,368_CUT_CUT_368_CUT,2,shape_585,weekday,5,1
_371_,371___371_,2,shape_595,weekday,5,1
_380_,380___380_,2,shape_596,weekday,5,1
A_380_A,380_A_A_380_A,2,shape_597,weekday,5,1
Vía 2_383_Vía 2,383_Vía 2_Vía 2_383_Vía 2,2,shape_598,weekday,5,1
_500_,500___500_,2,shape_424,weekday,5,1
_602_,602___602_,2,shape_422,weekday,5,1
A Vía Villas de la Barranca_603_A Vía Villas de la Barranca,603_A Vía Villas de la Barranca_A Vía Villas de la Barranca_603_A Vía Villas de la Barranca,2,shape_423,weekday,5,1
A Vía Huentitán el Alto_603_A Vía Huentitán el Alto,603_A Vía Huentitán el Alto_A Vía Huentitán el Alto_603_A Vía Huentitán el Alto,2,shape_429,weekday,5,1
B_603_B,603_B_B_603_B,2,shape_430,weekday,5,1
_604_,604___604_,2,shape_431,weekday,5,1
A_604_A,604_A_A_604_A,2,shape_432,weekday,5,1
_605_,605___605_,2,shape_427,weekday,5,1
_608_,608___608_,2,shape_428,weekday,5,1
Vía 1_610_Vía 1,610_Vía 1_Vía 1_610_Vía 1,2,shape_620,weekday,5,1
Vía 2_610_Vía 2,610_Vía 2_Vía 2_610_Vía 2,2,shape_621,weekday,5,1
_611_,611___611_,2,shape_622,weekday,5,1
A_611_A,611_A_A_611_A,2,shape_623,weekday,5,1
Vía Jardines de la Reina_612_Vía Jardines de la Reina,612_Vía Jardines de la Reina_Vía Jardines de la Reina_612_Vía Jardines de la Reina,2,shape_437,weekday,5,1
Vía Las Palmas_612_Vía Las Palmas,612_Vía Las Palmas_Vía Las Palmas_612_Vía Las Palmas,2,shape_438,weekday,5,1
Vía Juan de Dios Robledo_614_Vía Juan de Dios Robledo,614_Vía Juan de Dios Robledo_Vía Juan de Dios Robledo_614_Vía Juan de Dios Robledo,2,shape_433,weekday,5,1
Vía Bosques de Tonalá_614_Vía Bosques de Tonalá,614_Vía Bosques de Tonalá_Vía Bosques de Tonalá_614_Vía Bosques de Tonalá,2,shape_434,weekday,5,1
A_615_A,615_A_A_615_A,2,shape_435,weekday,5,1
_615_,615___615_,2,shape_436,weekday,5,1
_616_,616___616_,2,shape_439,weekday,5,1
_619_,619___619_,2,shape_625,weekday,5,1
Rojo_619_Rojo,619_Rojo_Rojo_619_Rojo,2,shape_628,weekday,5,1
