shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_85-1,1,-97.84402,22.2716
shape_85-1,2,-97.84191,22.27237
shape_85-1,3,-97.84091,22.26987
shape_85-1,4,-97.83886,22.27061
shape_85-1,5,-97.83871,22.27031
shape_85-1,6,-97.83692,22.27099
shape_85-1,7,-97.83631,22.26902
shape_85-1,8,-97.83814,22.26809
shape_85-1,9,-97.83754,22.26703
shape_85-1,10,-97.83715,22.26648
shape_85-1,11,-97.83585,22.26518
shape_85-1,12,-97.83813,22.2636
shape_85-1,13,-97.83876,22.26315
shape_85-1,14,-97.83798,22.26238
shape_85-1,15,-97.83778,22.26241
shape_85-1,16,-97.83745,22.26206
shape_85-1,17,-97.83939,22.26045
shape_85-1,18,-97.83154,22.2525
shape_85-1,19,-97.83513,22.24949
shape_85-1,20,-97.83618,22.24824
shape_85-1,21,-97.8366,22.2475
shape_85-1,22,-97.83705,22.24676
shape_85-1,23,-97.83629,22.24642
shape_85-1,24,-97.83629,22.24642
shape_85-1,25,-97.83589,22.24711
shape_85-1,26,-97.83544,22.24781
shape_85-1,27,-97.83487,22.24865
shape_85-1,28,-97.83513,22.24949
shape_85-1,29,-97.83086,22.25304
shape_85-1,30,-97.83876,22.26101
shape_85-1,31,-97.83998,22.26225
shape_85-1,32,-97.83949,22.26262
shape_85-1,33,-97.83908,22.26294
shape_85-1,34,-97.83876,22.26315
shape_85-1,35,-97.83813,22.2636
shape_85-1,36,-97.83585,22.26518
shape_85-1,37,-97.83715,22.26648
shape_85-1,38,-97.83754,22.26703
shape_85-1,39,-97.83814,22.26809
shape_85-1,40,-97.83631,22.26902
shape_85-1,41,-97.83692,22.27099
shape_85-1,42,-97.83871,22.27031
shape_85-1,43,-97.83886,22.27061
shape_85-1,44,-97.84091,22.26987
shape_85-1,45,-97.84191,22.27237
shape_85-1,46,-97.84402,22.2716
shape_71-1,0,-97.83374,22.24048
shape_71-1,1,-97.83427,22.24095
shape_71-1,2,-97.83481,22.24037
shape_71-1,3,-97.83536,22.23973
shape_71-1,4,-97.83552,22.23965
shape_71-1,5,-97.83563,22.2397
shape_71-1,6,-97.83715,22.23733
shape_71-1,7,-97.83782,22.23675
shape_71-1,8,-97.83834,22.23575
shape_71-1,9,-97.83858,22.23506
shape_71-1,10,-97.83885,22.23443
shape_71-1,11,-97.83948,22.23326
shape_71-1,12,-97.83992,22.23338
shape_71-1,13,-97.84297,22.22734
shape_71-1,14,-97.8478,22.21793
shape_71-1,15,-97.85032,22.21291
shape_71-1,16,-97.85205,22.2137
shape_71-1,17,-97.85123,22.21525
shape_71-1,18,-97.85542,22.21718
shape_71-1,19,-97.85755,22.21322
shape_71-1,20,-97.85755,22.21322
shape_71-1,21,-97.85589,22.21248
shape_71-1,22,-97.85304,22.21184
shape_71-1,23,-97.85291,22.21216
shape_71-1,24,-97.85031,22.21095
shape_71-1,25,-97.84909,22.21335
shape_71-1,26,-97.84825,22.21295
shape_71-1,27,-97.84741,22.21458
shape_71-1,28,-97.84827,22.21498
shape_71-1,29,-97.84205,22.22702
shape_71-1,30,-97.84295,22.2274
shape_71-1,31,-97.83992,22.23338
shape_71-1,32,-97.83948,22.23326
shape_71-1,33,-97.83885,22.23443
shape_71-1,34,-97.83858,22.23506
shape_71-1,35,-97.83834,22.23575
shape_71-1,36,-97.83782,22.23675
