route_id,direction_id,shape_id,service_id,trip_id
r113,1,shape_113-1,srv1111111,r113_trip_00_6
r113,1,shape_113-1,srv1111111,r113_trip_00_7
r113,1,shape_113-1,srv1111111,r113_trip_00_8
r113,1,shape_113-1,srv1111111,r113_trip_00_9
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_1
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_2
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_3
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_4
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_5
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_6
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_7
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_8
r114A,1,shape_114A-1,srv1111111,r114A_trip_00_9
r114,1,shape_114-1,srv1111111,r114_trip_00_1
r114,1,shape_114-1,srv1111111,r114_trip_00_2
r114,1,shape_114-1,srv1111111,r114_trip_00_3
r114,1,shape_114-1,srv1111111,r114_trip_00_4
r114,1,shape_114-1,srv1111111,r114_trip_00_5
r114,1,shape_114-1,srv1111111,r114_trip_00_6
r114,1,shape_114-1,srv1111111,r114_trip_00_7
r114,1,shape_114-1,srv1111111,r114_trip_00_8
r114,1,shape_114-1,srv1111111,r114_trip_00_9
r115,1,shape_115-1,srv1111111,r115_trip_00_1
r115,1,shape_115-1,srv1111111,r115_trip_00_2
r115,1,shape_115-1,srv1111111,r115_trip_00_3
r115,1,shape_115-1,srv1111111,r115_trip_00_4
r115,1,shape_115-1,srv1111111,r115_trip_00_5
r115,1,shape_115-1,srv1111111,r115_trip_00_6
r115,1,shape_115-1,srv1111111,r115_trip_00_7
r115,1,shape_115-1,srv1111111,r115_trip_00_8
r115,1,shape_115-1,srv1111111,r115_trip_00_9
r116,1,shape_116-1,srv1111111,r116_trip_00_1
r116,1,shape_116-1,srv1111111,r116_trip_00_2
r116,1,shape_116-1,srv1111111,r116_trip_00_3
r116,1,shape_116-1,srv1111111,r116_trip_00_4
r116,1,shape_116-1,srv1111111,r116_trip_00_5
r116,1,shape_116-1,srv1111111,r116_trip_00_6
r116,1,shape_116-1,srv1111111,r116_trip_00_7
r116,1,shape_116-1,srv1111111,r116_trip_00_8
r116,1,shape_116-1,srv1111111,r116_trip_00_9
r117,1,shape_117-1,srv1111111,r117_trip_00_1
r117,1,shape_117-1,srv1111111,r117_trip_00_2
r117,1,shape_117-1,srv1111111,r117_trip_00_3
r117,1,shape_117-1,srv1111111,r117_trip_00_4
r117,1,shape_117-1,srv1111111,r117_trip_00_5
r117,1,shape_117-1,srv1111111,r117_trip_00_6
r117,1,shape_117-1,srv1111111,r117_trip_00_7
r117,1,shape_117-1,srv1111111,r117_trip_00_8
r117,1,shape_117-1,srv1111111,r117_trip_00_9
r118,1,shape_118-1,srv1111111,r118_trip_00_1
r118,1,shape_118-1,srv1111111,r118_trip_00_2
r118,1,shape_118-1,srv1111111,r118_trip_00_3
r118,1,shape_118-1,srv1111111,r118_trip_00_4
r118,1,shape_118-1,srv1111111,r118_trip_00_5
r118,1,shape_118-1,srv1111111,r118_trip_00_6
r118,1,shape_118-1,srv1111111,r118_trip_00_7
r118,1,shape_118-1,srv1111111,r118_trip_00_8
r118,1,shape_118-1,srv1111111,r118_trip_00_9
r119,1,shape_119-1,srv1111111,r119_trip_00_1
r119,1,shape_119-1,srv1111111,r119_trip_00_2
r119,1,shape_119-1,srv1111111,r119_trip_00_3
r119,1,shape_119-1,srv1111111,r119_trip_00_4
r119,1,shape_119-1,srv1111111,r119_trip_00_5
r119,1,shape_119-1,srv1111111,r119_trip_00_6
r119,1,shape_119-1,srv1111111,r119_trip_00_7
r119,1,shape_119-1,srv1111111,r119_trip_00_8
r119,1,shape_119-1,srv1111111,r119_trip_00_9
