shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_71-1,1,-97.834270,22.240950
shape_71-1,2,-97.834810,22.240370
shape_71-1,3,-97.835360,22.239730
shape_71-1,4,-97.835520,22.239650
shape_71-1,5,-97.835630,22.239700
shape_71-1,6,-97.837150,22.237330
shape_71-1,7,-97.837820,22.236750
shape_71-1,8,-97.838340,22.235750
shape_71-1,9,-97.838580,22.235060
shape_71-1,10,-97.838850,22.234430
shape_71-1,11,-97.839480,22.233260
shape_71-1,12,-97.839920,22.233380
shape_71-1,13,-97.842970,22.227340
shape_71-1,14,-97.847800,22.217930
shape_71-1,15,-97.850320,22.212910
shape_71-1,16,-97.852050,22.213700
shape_71-1,17,-97.851230,22.215250
shape_71-1,18,-97.855420,22.217180
shape_71-1,19,-97.857550,22.213220
shape_71-1,20,-97.857550,22.213220
shape_71-1,21,-97.855890,22.212480
shape_71-1,22,-97.853040,22.211840
shape_71-1,23,-97.852910,22.212160
shape_71-1,24,-97.850310,22.210950
shape_71-1,25,-97.849090,22.213350
shape_71-1,26,-97.848250,22.212950
shape_71-1,27,-97.847410,22.214580
shape_71-1,28,-97.848270,22.214980
shape_71-1,29,-97.842050,22.227020
shape_71-1,30,-97.842950,22.227400
shape_71-1,31,-97.839920,22.233380
shape_71-1,32,-97.839480,22.233260
shape_71-1,33,-97.838850,22.234430
shape_71-1,34,-97.838580,22.235060
shape_71-1,35,-97.838340,22.235750
shape_71-1,36,-97.837820,22.236750
shape_71-1,37,-97.837150,22.237330
shape_71-1,38,-97.835630,22.239700
shape_71-1,39,-97.835520,22.239650
shape_71-1,40,-97.835360,22.239730
shape_71-1,41,-97.834810,22.240370
shape_71-1,42,-97.834280,22.240920
shape_71-1,43,-97.833720,22.240520
shape_69-1,0,-97.834470,22.248880
shape_69-1,1,-97.832870,22.250240
shape_69-1,2,-97.835980,22.253320
shape_69-1,3,-97.837080,22.254460
shape_69-1,4,-97.837160,22.254570
shape_69-1,5,-97.831940,22.258990
shape_69-1,6,-97.830350,22.260310
shape_69-1,7,-97.829520,22.260890
shape_69-1,8,-97.828940,22.261440
shape_69-1,9,-97.824480,22.265300
shape_69-1,10,-97.830990,22.272040
shape_69-1,11,-97.830460,22.272500
shape_69-1,12,-97.829940,22.272950
shape_69-1,13,-97.827240,22.275280
shape_69-1,14,-97.829680,22.277770
shape_69-1,15,-97.827930,22.278370
shape_69-1,16,-97.828960,22.280610
shape_69-1,17,-97.830420,22.284060
shape_69-1,18,-97.830420,22.284060
shape_69-1,19,-97.828960,22.280610
shape_69-1,20,-97.827930,22.278370
shape_69-1,21,-97.829680,22.277770
shape_69-1,22,-97.827240,22.275280
shape_69-1,23,-97.829940,22.272950
shape_69-1,24,-97.830460,22.272500
shape_69-1,25,-97.830990,22.272040
shape_69-1,26,-97.824480,22.265300
shape_69-1,27,-97.828940,22.261440
shape_69-1,28,-97.829520,22.260890
shape_69-1,29,-97.830350,22.260310
shape_69-1,30,-97.831940,22.258990
shape_69-1,31,-97.837160,22.254570
shape_69-1,32,-97.837080,22.254460
shape_69-1,33,-97.835980,22.253320
shape_69-1,34,-97.833560,22.250900
shape_69-1,35,-97.835070,22.249530
shape_69-1,36,-97.835000,22.249310
shape_69-1,37,-97.834870,22.249260
shape_69-1,38,-97.834450,22.248880
shape_72-1,0,-97.860090,22.251630
shape_72-1,1,-97.859830,22.248730
shape_72-1,2,-97.860030,22.247090
shape_72-1,3,-97.860160,22.246230
